JobTitle,JobCategory,Salary,Location,SkillsRequired,StartDate,JobSummary
Content Writer,Marketing and Creative,£21000,Manchester,"['Graphic Design', 'Social Media Marketing', 'SEO Optimisation']",2025-07-26,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Event Coordinator,Marketing and Creative,£23000,Cambridge,"['Market Research', 'Content Creation', 'Social Media Marketing']",2025-09-07,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Pharmaceutical Sales Representative,Engineering and Science,£26000,Liverpool,"['Simulation Software', 'Technical Writing', 'CAD Software']",2024-11-18,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Supply Chain Analyst,Finance and Business,£25000,Leeds,"['Business Strategy', 'Risk Assessment', 'Financial Forecasting']",2024-10-07,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Customer Service Manager,Administrative,£25000,Birmingham,"['Onboarding', 'Office Management', 'Talent Acquisition']",2024-11-06,Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
IT Support Specialist,Technology and Data,£33000,Sheffield,"['Django', 'Python Programming', 'JavaScript']",2025-06-02,You will have to provide technical support and troubleshooting for hardware and software issues.
Marketing Executive,Marketing and Creative,£34000,Liverpool,"['Content Creation', 'Campaign Management', 'Brand Strategy']",2024-11-19,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Corporate Finance Analyst,Finance and Business,£24000,Liverpool,"['Project Management', 'Risk Assessment', 'Financial Analysis']",2025-01-22,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Pharmaceutical Sales Representative,Engineering and Science,£28000,Liverpool,"['Research Methodology', 'Simulation Software', 'Statistical Analysis']",2025-01-18,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Digital Marketing Specialist,Marketing and Creative,£35000,Nottingham,"['Content Management Systems', 'PPC Advertising', 'Campaign Management']",2024-10-23,"Implement digital marketing strategies, including SEO, PPC, and social media."
Financial Analyst,Finance and Business,£33000,Birmingham,"['Bookkeeping', 'Analytical Skills', 'Budgeting']",2024-11-18,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Pharmaceutical Sales Representative,Engineering and Science,£21000,Manchester,"['Prototyping', 'Regulatory Compliance', 'Statistical Analysis']",2024-09-15,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Business Development Executive,Finance and Business,£33000,Manchester,"['Risk Assessment', 'Bookkeeping', 'Project Management']",2024-11-18,"Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Research Scientist,Engineering and Science,£32000,Leeds,"['Product Development', 'Mechanical Design', 'Project Management Software']",2025-02-01,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Web Developer,Technology and Data,£32000,Nottingham,"['Cloud Computing', 'Django', 'SQL']",2024-09-23,"Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Business Analyst,Finance and Business,£24000,Liverpool,"['Analytical Skills', 'Financial Modeling', 'Project Management']",2024-11-15,Identify business needs and develop solutions to enhance processes and operations.
Electrical Engineer,Engineering and Science,£24000,Manchester,"['Simulation Software', 'Finite Element Analysis', 'Technical Writing']",2025-01-25,Design and implement electrical systems and components for working on projects involving power generation and electronics.
Event Coordinator,Marketing and Creative,£33000,Bristol,"['Email Marketing', 'Google Analytics', 'Market Research']",2024-11-16,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Investment Banking Analyst,Finance and Business,£33000,Birmingham,"['Market Research', 'Financial Modeling', 'Analytical Skills']",2025-03-05,You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Data Analyst,Technology and Data,£25000,Leeds,"['Machine Learning', 'Python Programming', 'Django']",2025-03-22,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Business Development Executive,Finance and Business,£30000,Birmingham,"['Analytical Skills', 'Bookkeeping', 'Excel']",2025-06-04,"Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Web Developer,Technology and Data,£30000,Sheffield,"['Big Data Technologies', 'APIs', 'Problem Solving']",2025-09-10,"Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Graphic Designer,Marketing and Creative,£33000,Liverpool,"['Digital Marketing', 'Campaign Management', 'User Research']",2025-06-25,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Quantity Surveyor,Engineering and Science,£33000,Manchester,"['Finite Element Analysis', 'Engineering Design', 'Mechanical Design']",2025-07-04,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
UI Designer,Technology and Data,£32000,London,"['Data Warehousing', 'APIs', 'Big Data Technologies']",2024-10-21,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Data Analyst,Technology and Data,£25000,Leeds,"['SQL', 'Data Warehousing', 'Cloud Computing']",2024-10-17,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Content Writer,Marketing and Creative,£22000,London,"['Market Research', 'Adobe Creative Suite', 'Content Creation']",2025-02-23,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Customer Service Manager,Administrative,£29000,Newcastle,"['Office Management', 'Organisational Skills', 'HR Information Systems']",2024-10-07,Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Operations Manager,Finance and Business,£32000,Birmingham,"['Market Research', 'Financial Reporting', 'Budgeting']",2025-02-14,"Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Quantity Surveyor,Engineering and Science,£32000,Nottingham,"['Statistical Analysis', 'Simulation Software', 'Data Analysis']",2024-12-24,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Data Analyst,Technology and Data,£35000,Liverpool,"['JavaScript', 'Cloud Computing', 'Version Control']",2024-11-07,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Sales Executive,Marketing and Creative,£29000,Manchester,"['Adobe Creative Suite', 'Content Management Systems', 'Digital Marketing']",2024-12-27,Must be able to develop and execute sales strategies to meet business objectives.
Legal Assistant,Administrative,£20000,Leeds,"['HR Information Systems', 'Leadership', 'Office Management']",2025-02-20,Provide administrative support to legal teams and assist with legal research and document preparation
Social Media Manager,Marketing and Creative,£32000,Bristol,"['Google Analytics', 'Market Research', 'Graphic Design']",2025-03-12,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Systems Analyst,Technology and Data,£24000,Bristol,"['Problem Solving', 'SQL', 'Docker']",2024-10-25,Evaluate and improve computer systems to enhance efficiency.
Financial Analyst,Finance and Business,£26000,Sheffield,"['Regulatory Compliance', 'Bookkeeping', 'Budgeting']",2025-06-22,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Insurance Underwriter,Administrative,£28000,Sheffield,"['Recruitment', 'Training and Development', 'Onboarding']",2025-03-08,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Recruitment Consultant,Administrative,£22000,Sheffield,"['Communication', 'HR Information Systems', 'Onboarding']",2025-06-22,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
IT Support Specialist,Technology and Data,£33000,Bristol,"['Data Warehousing', 'ETL', 'Django']",2025-07-13,You will have to provide technical support and troubleshooting for hardware and software issues.
Corporate Finance Analyst,Finance and Business,£35000,Newcastle,"['Bookkeeping', 'Market Research', 'Reporting']",2024-10-10,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Investment Banking Analyst,Finance and Business,£25000,Sheffield,"['Bookkeeping', 'Quantitative Analysis', 'Regulatory Compliance']",2025-08-09,You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
UI Designer,Technology and Data,£31000,Liverpool,"['Problem Solving', 'Data Warehousing', 'Big Data Technologies']",2025-06-26,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Mechanical Engineer,Engineering and Science,£24000,Nottingham,"['Technical Writing', 'Data Analysis', 'Regulatory Compliance']",2025-06-05,"Design machinery and equipment, and troubleshoot engineering issues."
Event Coordinator,Marketing and Creative,£33000,Manchester,"['Content Creation', 'Social Media Marketing', 'Brand Strategy']",2024-12-05,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Legal Assistant,Administrative,£29000,London,"['Conflict Resolution', 'Recruitment', 'Payroll Management']",2025-02-22,Provide administrative support to legal teams and assist with legal research and document preparation
Customer Service Manager,Administrative,£31000,Manchester,"['Compliance Management', 'Office Management', 'Performance Appraisal Systems']",2025-06-15,Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Insurance Underwriter,Administrative,£29000,Sheffield,"['Conflict Resolution', 'Office Management', 'Payroll Management']",2025-06-17,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Insurance Underwriter,Administrative,£25000,Nottingham,"['Training and Development', 'Communication', 'Performance Appraisal Systems']",2025-08-17,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Business Development Executive,Finance and Business,£25000,Sheffield,"['Quantitative Analysis', 'Budgeting', 'Risk Assessment']",2025-06-20,"Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Product Designer,Marketing and Creative,£26000,Newcastle,"['Content Creation', 'Campaign Management', 'Digital Marketing']",2025-04-14,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Audit Associate,Finance and Business,£23000,Leeds,"['Regulatory Compliance', 'Reporting', 'Risk Assessment']",2025-07-27,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Logistics Coordinator,Administrative,£25000,Sheffield,"['Leadership', 'Training and Development', 'HR Information Systems']",2025-01-16,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Corporate Finance Analyst,Finance and Business,£31000,Manchester,"['Financial Analysis', 'Analytical Skills', 'Reporting']",2025-07-14,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Event Coordinator,Marketing and Creative,£26000,Leeds,"['Digital Marketing', 'Social Media Marketing', 'Content Creation']",2025-05-28,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Electrical Engineer,Engineering and Science,£32000,Newcastle,"['Project Management Software', 'Problem Solving', 'Engineering Design']",2025-09-04,Design and implement electrical systems and components for working on projects involving power generation and electronics.
Risk Analyst,Finance and Business,£28000,Cambridge,"['Financial Reporting', 'Financial Forecasting', 'Financial Modeling']",2025-08-07,You must be able to identify and assess potential risks to the organisation.
Human Resources Assistant,Administrative,£30000,Bristol,"['Client Management', 'Compliance Management', 'Communication']",2025-03-01,"Support HR functions including recruitment, employee relations, and record-keeping."
Management Consultant,Administrative,£27000,Sheffield,"['Employee Relations', 'Performance Appraisal Systems', 'Onboarding']",2025-01-28,Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
UI Designer,Technology and Data,£25000,Newcastle,"['Version Control', 'Cloud Computing', 'Data Warehousing']",2025-09-19,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
IT Support Specialist,Technology and Data,£24000,Liverpool,"['Big Data Technologies', 'JavaScript', 'Version Control']",2025-06-01,You will have to provide technical support and troubleshooting for hardware and software issues.
Data Scientist,Technology and Data,£26000,Sheffield,"['Data Analysis', 'Data Warehousing', 'Django']",2025-03-09,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Insurance Underwriter,Administrative,£22000,Birmingham,"['Conflict Resolution', 'Office Management', 'Recruitment']",2025-09-23,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Graphic Designer,Marketing and Creative,£33000,Birmingham,"['Graphic Design', 'User Research', 'Adobe Creative Suite']",2025-05-02,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Business Development Executive,Finance and Business,£21000,London,"['Quantitative Analysis', 'Financial Forecasting', 'Bookkeeping']",2025-01-13,"Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
UI Designer,Technology and Data,£29000,Cambridge,"['Cloud Computing', 'Machine Learning', 'APIs']",2024-09-04,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Public Relations Officer,Marketing and Creative,£30000,Newcastle,"['Content Management Systems', 'Content Creation', 'PPC Advertising']",2025-08-21,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Customer Service Manager,Administrative,£27000,Cambridge,"['Employee Relations', 'HR Information Systems', 'Leadership']",2025-04-30,Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Audit Associate,Finance and Business,£25000,Newcastle,"['Financial Analysis', 'Regulatory Compliance', 'Project Management']",2024-12-28,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Financial Analyst,Finance and Business,£34000,Nottingham,"['Analytical Skills', 'Excel', 'Regulatory Compliance']",2025-01-08,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Digital Marketing Specialist,Marketing and Creative,£20000,Cambridge,"['Analytics', 'Content Management Systems', 'Adobe Creative Suite']",2025-09-08,"Implement digital marketing strategies, including SEO, PPC, and social media."
Data Analyst,Technology and Data,£24000,Newcastle,"['JavaScript', 'Machine Learning', 'APIs']",2025-05-15,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Systems Analyst,Technology and Data,£28000,London,"['APIs', 'Cloud Computing', 'Docker']",2025-01-22,Evaluate and improve computer systems to enhance efficiency.
Management Consultant,Administrative,£35000,London,"['Compliance Management', 'Client Management', 'Payroll Management']",2025-07-18,Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Insurance Underwriter,Administrative,£30000,Sheffield,"['Recruitment', 'HR Information Systems', 'Employee Relations']",2025-07-07,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Social Media Manager,Marketing and Creative,£24000,Liverpool,"['SEO Optimisation', 'Brand Strategy', 'PPC Advertising']",2024-10-27,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Recruitment Consultant,Administrative,£23000,Nottingham,"['Client Management', 'Performance Appraisal Systems', 'Recruitment']",2025-07-26,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Web Developer,Technology and Data,£30000,Birmingham,"['Machine Learning', 'APIs', 'Big Data Technologies']",2025-06-27,"Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Technical Support Engineer,Technology and Data,£22000,Sheffield,"['Problem Solving', 'Data Analysis', 'SQL']",2024-12-02,"You should be able to diagnose and resolve technical issues, providing support to clients and customers."
IT Support Specialist,Technology and Data,£21000,Bristol,"['Cloud Computing', 'JavaScript', 'SQL']",2025-07-07,You will have to provide technical support and troubleshooting for hardware and software issues.
Supply Chain Analyst,Finance and Business,£34000,Leeds,"['Financial Analysis', 'Reporting', 'Risk Assessment']",2024-09-24,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Civil Engineer,Engineering and Science,£32000,Liverpool,"['Mechanical Design', 'Simulation Software', 'Problem Solving']",2024-12-31,"Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Audit Associate,Finance and Business,£28000,Leeds,"['Analytical Skills', 'Reporting', 'Project Management']",2025-03-24,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Marketing Executive,Marketing and Creative,£21000,Sheffield,"['Campaign Management', 'Digital Marketing', 'Content Creation']",2025-05-23,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Public Relations Officer,Marketing and Creative,£20000,Birmingham,"['SEO Optimisation', 'Digital Marketing', 'Campaign Management']",2025-01-19,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Social Media Manager,Marketing and Creative,£21000,Liverpool,"['Campaign Management', 'Market Research', 'SEO Optimisation']",2025-05-02,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Digital Marketing Specialist,Marketing and Creative,£22000,Sheffield,"['Adobe Creative Suite', 'Market Research', 'User Research']",2025-04-30,"Implement digital marketing strategies, including SEO, PPC, and social media."
Business Analyst,Finance and Business,£28000,Liverpool,"['Analytical Skills', 'Market Research', 'Risk Assessment']",2025-09-09,Identify business needs and develop solutions to enhance processes and operations.
Human Resources Assistant,Administrative,£28000,Birmingham,"['HR Information Systems', 'Communication', 'Payroll Management']",2025-05-12,"Support HR functions including recruitment, employee relations, and record-keeping."
Audit Associate,Finance and Business,£24000,Birmingham,"['Quantitative Analysis', 'Business Strategy', 'Market Research']",2024-11-11,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Product Designer,Marketing and Creative,£32000,Sheffield,"['Analytics', 'User Research', 'Market Research']",2025-03-08,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Sales Executive,Marketing and Creative,£32000,Bristol,"['Content Management Systems', 'User Research', 'Campaign Management']",2024-09-01,Must be able to develop and execute sales strategies to meet business objectives.
Management Consultant,Administrative,£35000,Bristol,"['Organisational Skills', 'Leadership', 'Talent Acquisition']",2024-11-13,Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Financial Analyst,Finance and Business,£25000,Nottingham,"['Financial Forecasting', 'Excel', 'Market Research']",2025-01-02,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Software Developer,Technology and Data,£22000,Liverpool,"['Problem Solving', 'Python Programming', 'Big Data Technologies']",2025-09-10,"Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Software Developer,Technology and Data,£23000,Newcastle,"['JavaScript', 'Version Control', 'ETL']",2025-04-20,"Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Biomedical Scientist,Engineering and Science,£34000,Manchester,"['Engineering Design', 'Simulation Software', 'Research Methodology']",2025-05-26,Conduct research and analyse biological samples to support medical and clinical studies.
Engineering Graduate,Engineering and Science,£23000,Nottingham,"['Finite Element Analysis', 'CAD Software', 'Technical Writing']",2025-04-09,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Public Relations Officer,Marketing and Creative,£25000,Bristol,"['Market Research', 'Digital Marketing', 'PPC Advertising']",2024-09-01,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Social Media Manager,Marketing and Creative,£21000,Bristol,"['Digital Marketing', 'Analytics', 'SEO Optimisation']",2024-12-10,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Graphic Designer,Marketing and Creative,£34000,Sheffield,"['Campaign Management', 'Google Analytics', 'Email Marketing']",2025-06-01,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Operations Manager,Finance and Business,£33000,Manchester,"['Budgeting', 'Quantitative Analysis', 'Financial Forecasting']",2025-07-26,"Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Recruitment Consultant,Administrative,£23000,Sheffield,"['Employee Relations', 'Performance Appraisal Systems', 'Organisational Skills']",2024-09-10,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Software Developer,Technology and Data,£24000,Cambridge,"['SQL', 'Data Analysis', 'Data Visualisation']",2025-01-17,"Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Mechanical Engineer,Engineering and Science,£23000,Nottingham,"['Regulatory Compliance', 'Simulation Software', 'Engineering Design']",2024-12-17,"Design machinery and equipment, and troubleshoot engineering issues."
Investment Banking Analyst,Finance and Business,£23000,Cambridge,"['Bookkeeping', 'Quantitative Analysis', 'Budgeting']",2025-08-16,You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Social Media Manager,Marketing and Creative,£26000,Nottingham,"['Email Marketing', 'Adobe Creative Suite', 'Content Management Systems']",2025-02-27,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Digital Marketing Specialist,Marketing and Creative,£25000,Nottingham,"['Email Marketing', 'Market Research', 'Campaign Management']",2024-09-18,"Implement digital marketing strategies, including SEO, PPC, and social media."
Content Writer,Marketing and Creative,£30000,Cambridge,"['Content Creation', 'Campaign Management', 'Graphic Design']",2024-12-09,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Electrical Engineer,Engineering and Science,£33000,Cambridge,"['Engineering Design', 'Lab Techniques', 'Simulation Software']",2025-09-27,Design and implement electrical systems and components for working on projects involving power generation and electronics.
Data Scientist,Technology and Data,£27000,Cambridge,"['Docker', 'ETL', 'SQL']",2025-08-02,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Recruitment Consultant,Administrative,£28000,Cambridge,"['Office Management', 'Recruitment', 'Employee Relations']",2024-11-05,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Engineering Graduate,Engineering and Science,£35000,Manchester,"['Technical Writing', 'Finite Element Analysis', 'Mechanical Design']",2024-10-03,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Nurse,Administrative,£26000,Bristol,"['Organisational Skills', 'Leadership', 'Performance Appraisal Systems']",2025-09-11,"Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Business Development Executive,Finance and Business,£30000,Liverpool,"['Project Management', 'Excel', 'Financial Analysis']",2024-09-08,"Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Legal Assistant,Administrative,£23000,Leeds,"['Employee Relations', 'Client Management', 'Payroll Management']",2025-08-17,Provide administrative support to legal teams and assist with legal research and document preparation
Research Scientist,Engineering and Science,£23000,Nottingham,"['Project Management Software', 'Engineering Design', 'Prototyping']",2024-12-24,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Human Resources Assistant,Administrative,£22000,London,"['Training and Development', 'Communication', 'Organisational Skills']",2025-07-17,"Support HR functions including recruitment, employee relations, and record-keeping."
Electrical Engineer,Engineering and Science,£21000,Sheffield,"['Simulation Software', 'Statistical Analysis', 'Prototyping']",2025-04-20,Design and implement electrical systems and components for working on projects involving power generation and electronics.
Public Relations Officer,Marketing and Creative,£24000,Sheffield,"['Adobe Creative Suite', 'Content Creation', 'Google Analytics']",2025-06-20,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Data Scientist,Technology and Data,£27000,Nottingham,"['Data Analysis', 'ETL', 'Big Data Technologies']",2025-02-22,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Sales Executive,Marketing and Creative,£27000,London,"['Content Management Systems', 'Brand Strategy', 'SEO Optimisation']",2025-02-26,Must be able to develop and execute sales strategies to meet business objectives.
Data Analyst,Technology and Data,£24000,Leeds,"['Cloud Computing', 'Version Control', 'Machine Learning']",2025-03-12,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Sales Executive,Marketing and Creative,£32000,Nottingham,"['Graphic Design', 'Email Marketing', 'Google Analytics']",2025-03-07,Must be able to develop and execute sales strategies to meet business objectives.
Insurance Underwriter,Administrative,£31000,London,"['Communication', 'Training and Development', 'Conflict Resolution']",2024-11-05,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Mechanical Engineer,Engineering and Science,£22000,Manchester,"['CAD Software', 'Prototyping', 'Data Analysis']",2025-09-08,"Design machinery and equipment, and troubleshoot engineering issues."
Financial Analyst,Finance and Business,£22000,London,"['Financial Modeling', 'Reporting', 'Business Strategy']",2025-03-10,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Supply Chain Analyst,Finance and Business,£25000,London,"['Quantitative Analysis', 'Reporting', 'Bookkeeping']",2025-07-11,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
UI Designer,Technology and Data,£35000,Leeds,"['Big Data Technologies', 'Cloud Computing', 'SQL']",2024-10-05,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Technical Support Engineer,Technology and Data,£27000,Sheffield,"['Django', 'Data Warehousing', 'Cloud Computing']",2024-12-18,"You should be able to diagnose and resolve technical issues, providing support to clients and customers."
UI Designer,Technology and Data,£29000,Liverpool,"['APIs', 'Python Programming', 'Problem Solving']",2025-07-03,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Data Scientist,Technology and Data,£28000,Bristol,"['Python Programming', 'ETL', 'Cloud Computing']",2025-04-23,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Insurance Underwriter,Administrative,£23000,Leeds,"['HR Information Systems', 'Compliance Management', 'Training and Development']",2025-03-22,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Supply Chain Analyst,Finance and Business,£27000,Birmingham,"['Financial Forecasting', 'Analytical Skills', 'Risk Assessment']",2025-05-09,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Quantity Surveyor,Engineering and Science,£33000,Newcastle,"['Research Methodology', 'CAD Software', 'Project Management Software']",2025-05-27,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Engineering Graduate,Engineering and Science,£21000,Liverpool,"['Regulatory Compliance', 'Mechanical Design', 'Finite Element Analysis']",2025-04-02,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Technical Support Engineer,Technology and Data,£34000,Nottingham,"['Django', 'SQL', 'Version Control']",2025-05-09,"You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Content Writer,Marketing and Creative,£32000,Nottingham,"['Content Management Systems', 'Brand Strategy', 'Content Creation']",2025-07-08,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
UI Designer,Technology and Data,£31000,Leeds,"['Data Visualisation', 'Python Programming', 'APIs']",2025-03-29,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Sales Executive,Marketing and Creative,£32000,Newcastle,"['Market Research', 'Adobe Creative Suite', 'Content Management Systems']",2024-12-09,Must be able to develop and execute sales strategies to meet business objectives.
Management Consultant,Administrative,£32000,Liverpool,"['Employee Relations', 'Talent Acquisition', 'Office Management']",2025-06-25,Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Customer Service Manager,Administrative,£34000,London,"['Onboarding', 'Performance Appraisal Systems', 'Office Management']",2025-04-03,Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Systems Analyst,Technology and Data,£28000,Manchester,"['Data Warehousing', 'Django', 'Cloud Computing']",2024-10-03,Evaluate and improve computer systems to enhance efficiency.
Social Media Manager,Marketing and Creative,£25000,Nottingham,"['PPC Advertising', 'Graphic Design', 'Digital Marketing']",2024-11-06,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Logistics Coordinator,Administrative,£31000,Liverpool,"['Communication', 'Organisational Skills', 'Talent Acquisition']",2025-05-24,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Logistics Coordinator,Administrative,£21000,London,"['Client Management', 'Office Management', 'Talent Acquisition']",2025-08-14,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
