JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Operations Manager,Finance and Business,£28000,London,"['Excel', 'Project Management', 'Analytical Skills']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Web Developer,Technology and Data,£32000,Manchester,"['Machine Learning', 'Cloud Computing', 'Version Control']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Social Media Manager,Marketing and Creative,£25000,Liverpool,"['Social Media Marketing', 'Campaign Management', 'Content Creation']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Supply Chain Analyst,Finance and Business,£22000,Nottingham,"['Risk Assessment', 'Regulatory Compliance', 'Project Management']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Financial Analyst,Finance and Business,£28000,Sheffield,"['Risk Assessment', 'Excel', 'Project Management']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Customer Service Manager,Administrative,£20000,Bristol,"['Office Management', 'Leadership', 'Client Management']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Business Development Executive,Finance and Business,£32000,Birmingham,"['Project Management', 'Financial Modeling', 'Quantitative Analysis']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Insurance Underwriter,Administrative,£29000,Birmingham,"['Onboarding', 'Compliance Management', 'Employee Relations']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Corporate Finance Analyst,Finance and Business,£23000,London,"['Market Research', 'Excel', 'Financial Modeling']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Business Analyst,Finance and Business,£28000,Bristol,"['Bookkeeping', 'Budgeting', 'Financial Forecasting']",Identify business needs and develop solutions to enhance processes and operations.
Nurse,Administrative,£28000,Cambridge,"['Employee Relations', 'Onboarding', 'Training and Development']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Management Consultant,Administrative,£28000,Liverpool,"['Communication', 'Leadership', 'HR Information Systems']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Corporate Finance Analyst,Finance and Business,£25000,Newcastle,"['Bookkeeping', 'Regulatory Compliance', 'Project Management']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Audit Associate,Finance and Business,£23000,Bristol,"['Financial Modeling', 'Business Strategy', 'Excel']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Customer Service Manager,Administrative,£22000,London,"['HR Information Systems', 'Office Management', 'Recruitment']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Data Analyst,Technology and Data,£31000,Cambridge,"['APIs', 'Docker', 'Django']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Recruitment Consultant,Administrative,£25000,Leeds,"['Payroll Management', 'Employee Relations', 'Office Management']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Graphic Designer,Marketing and Creative,£29000,Birmingham,"['User Research', 'Analytics', 'Content Management Systems']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Systems Analyst,Technology and Data,£21000,London,"['JavaScript', 'Docker', 'Data Visualisation']",Evaluate and improve computer systems to enhance efficiency.
Business Development Executive,Finance and Business,£29000,Bristol,"['Project Management', 'Budgeting', 'Regulatory Compliance']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Civil Engineer,Engineering and Science,£32000,Manchester,"['Regulatory Compliance', 'Mechanical Design', 'CAD Software']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Nurse,Administrative,£24000,Newcastle,"['Talent Acquisition', 'Communication', 'Leadership']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Public Relations Officer,Marketing and Creative,£22000,Manchester,"['Brand Strategy', 'Campaign Management', 'Graphic Design']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Quantity Surveyor,Engineering and Science,£22000,Leeds,"['Product Development', 'CAD Software', 'Lab Techniques']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Social Media Manager,Marketing and Creative,£34000,Bristol,"['Google Analytics', 'Graphic Design', 'Digital Marketing']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
UI Designer,Technology and Data,£34000,Manchester,"['Data Visualisation', 'Problem Solving', 'SQL']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Graphic Designer,Marketing and Creative,£28000,Liverpool,"['Market Research', 'Analytics', 'Campaign Management']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Financial Analyst,Finance and Business,£22000,Nottingham,"['Quantitative Analysis', 'Financial Reporting', 'Market Research']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Civil Engineer,Engineering and Science,£24000,Nottingham,"['Technical Writing', 'Simulation Software', 'Project Management Software']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Public Relations Officer,Marketing and Creative,£26000,Sheffield,"['Campaign Management', 'User Research', 'PPC Advertising']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Management Consultant,Administrative,£35000,Sheffield,"['Performance Appraisal Systems', 'Recruitment', 'Client Management']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Biomedical Scientist,Engineering and Science,£29000,Birmingham,"['Product Development', 'Data Analysis', 'Research Methodology']",Conduct research and analyse biological samples to support medical and clinical studies.
IT Support Specialist,Technology and Data,£21000,Nottingham,"['ETL', 'Data Analysis', 'Docker']",You will have to provide technical support and troubleshooting for hardware and software issues.
Electrical Engineer,Engineering and Science,£23000,Cambridge,"['Lab Techniques', 'Statistical Analysis', 'Data Analysis']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Business Analyst,Finance and Business,£28000,London,"['Bookkeeping', 'Budgeting', 'Excel']",Identify business needs and develop solutions to enhance processes and operations.
Systems Analyst,Technology and Data,£23000,Manchester,"['ETL', 'Machine Learning', 'APIs']",Evaluate and improve computer systems to enhance efficiency.
Public Relations Officer,Marketing and Creative,£34000,Nottingham,"['Graphic Design', 'Social Media Marketing', 'PPC Advertising']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Marketing Executive,Marketing and Creative,£34000,London,"['Digital Marketing', 'Social Media Marketing', 'Market Research']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Investment Banking Analyst,Finance and Business,£26000,Cambridge,"['Financial Modeling', 'Bookkeeping', 'Analytical Skills']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Corporate Finance Analyst,Finance and Business,£32000,Nottingham,"['Market Research', 'Quantitative Analysis', 'Business Strategy']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Nurse,Administrative,£26000,Newcastle,"['Talent Acquisition', 'Conflict Resolution', 'Client Management']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Business Analyst,Finance and Business,£27000,Sheffield,"['Financial Analysis', 'Financial Forecasting', 'Bookkeeping']",Identify business needs and develop solutions to enhance processes and operations.
Product Designer,Marketing and Creative,£30000,Cambridge,"['Campaign Management', 'Graphic Design', 'Analytics']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Data Scientist,Technology and Data,£27000,Nottingham,"['Data Visualisation', 'Big Data Technologies', 'APIs']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Insurance Underwriter,Administrative,£26000,Sheffield,"['Recruitment', 'Compliance Management', 'Client Management']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Biomedical Scientist,Engineering and Science,£22000,Newcastle,"['Mechanical Design', 'Simulation Software', 'CAD Software']",Conduct research and analyse biological samples to support medical and clinical studies.
Public Relations Officer,Marketing and Creative,£22000,Manchester,"['PPC Advertising', 'Google Analytics', 'Analytics']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Research Scientist,Engineering and Science,£31000,Birmingham,"['Regulatory Compliance', 'Lab Techniques', 'Technical Writing']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Systems Analyst,Technology and Data,£21000,Newcastle,"['ETL', 'Data Analysis', 'Django']",Evaluate and improve computer systems to enhance efficiency.
Digital Marketing Specialist,Marketing and Creative,£32000,Nottingham,"['Google Analytics', 'Market Research', 'Campaign Management']","Implement digital marketing strategies, including SEO, PPC, and social media."
Pharmaceutical Sales Representative,Engineering and Science,£26000,Liverpool,"['Research Methodology', 'Prototyping', 'Mechanical Design']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Graphic Designer,Marketing and Creative,£30000,Leeds,"['Analytics', 'Brand Strategy', 'Content Management Systems']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Public Relations Officer,Marketing and Creative,£27000,London,"['User Research', 'Analytics', 'Campaign Management']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Business Development Executive,Finance and Business,£26000,Bristol,"['Financial Forecasting', 'Budgeting', 'Financial Reporting']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Marketing Executive,Marketing and Creative,£22000,Leeds,"['Adobe Creative Suite', 'Email Marketing', 'Graphic Design']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Civil Engineer,Engineering and Science,£22000,Bristol,"['Research Methodology', 'Simulation Software', 'Prototyping']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Nurse,Administrative,£28000,Cambridge,"['Recruitment', 'Conflict Resolution', 'Performance Appraisal Systems']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Social Media Manager,Marketing and Creative,£24000,Sheffield,"['SEO Optimisation', 'Content Management Systems', 'User Research']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Human Resources Assistant,Administrative,£27000,Manchester,"['Client Management', 'Leadership', 'Performance Appraisal Systems']","Support HR functions including recruitment, employee relations, and record-keeping."
Sales Executive,Marketing and Creative,£32000,Leeds,"['Google Analytics', 'Content Management Systems', 'Graphic Design']",Must be able to develop and execute sales strategies to meet business objectives.
Operations Manager,Finance and Business,£20000,Manchester,"['Analytical Skills', 'Market Research', 'Reporting']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Software Developer,Technology and Data,£33000,Liverpool,"['Data Analysis', 'Data Warehousing', 'APIs']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Mechanical Engineer,Engineering and Science,£30000,Nottingham,"['Prototyping', 'Statistical Analysis', 'Simulation Software']","Design machinery and equipment, and troubleshoot engineering issues."
Technical Support Engineer,Technology and Data,£27000,Cambridge,"['Machine Learning', 'Python Programming', 'Big Data Technologies']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Teacher,Administrative,£28000,Leeds,"['HR Information Systems', 'Client Management', 'Conflict Resolution']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Investment Banking Analyst,Finance and Business,£22000,Newcastle,"['Business Strategy', 'Regulatory Compliance', 'Market Research']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Web Developer,Technology and Data,£20000,Manchester,"['Data Analysis', 'Data Visualisation', 'Problem Solving']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Business Development Executive,Finance and Business,£24000,Sheffield,"['Business Strategy', 'Excel', 'Financial Reporting']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Human Resources Assistant,Administrative,£30000,Cambridge,"['Compliance Management', 'Payroll Management', 'Communication']","Support HR functions including recruitment, employee relations, and record-keeping."
Engineering Graduate,Engineering and Science,£33000,Bristol,"['Engineering Design', 'Statistical Analysis', 'Finite Element Analysis']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Web Developer,Technology and Data,£25000,Cambridge,"['Problem Solving', 'Cloud Computing', 'Big Data Technologies']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Operations Manager,Finance and Business,£34000,Cambridge,"['Financial Analysis', 'Financial Forecasting', 'Financial Modeling']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Pharmaceutical Sales Representative,Engineering and Science,£29000,Newcastle,"['Problem Solving', 'Finite Element Analysis', 'Engineering Design']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Customer Service Manager,Administrative,£33000,Nottingham,"['Conflict Resolution', 'Onboarding', 'Client Management']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Public Relations Officer,Marketing and Creative,£35000,Newcastle,"['PPC Advertising', 'Campaign Management', 'User Research']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Graphic Designer,Marketing and Creative,£34000,London,"['Social Media Marketing', 'User Research', 'Brand Strategy']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Audit Associate,Finance and Business,£21000,Bristol,"['Financial Forecasting', 'Risk Assessment', 'Project Management']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Legal Assistant,Administrative,£25000,Liverpool,"['Leadership', 'Organisational Skills', 'Recruitment']",Provide administrative support to legal teams and assist with legal research and document preparation
Digital Marketing Specialist,Marketing and Creative,£33000,Manchester,"['Brand Strategy', 'Content Management Systems', 'Adobe Creative Suite']","Implement digital marketing strategies, including SEO, PPC, and social media."
Graphic Designer,Marketing and Creative,£28000,Sheffield,"['Email Marketing', 'Campaign Management', 'Google Analytics']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Recruitment Consultant,Administrative,£34000,London,"['Leadership', 'Compliance Management', 'Talent Acquisition']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Research Scientist,Engineering and Science,£29000,Manchester,"['Mechanical Design', 'Technical Writing', 'Lab Techniques']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Supply Chain Analyst,Finance and Business,£33000,Cambridge,"['Bookkeeping', 'Market Research', 'Financial Reporting']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Corporate Finance Analyst,Finance and Business,£27000,Nottingham,"['Business Strategy', 'Excel', 'Analytical Skills']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Human Resources Assistant,Administrative,£30000,Bristol,"['Compliance Management', 'Conflict Resolution', 'Onboarding']","Support HR functions including recruitment, employee relations, and record-keeping."
Management Consultant,Administrative,£27000,Bristol,"['Onboarding', 'Recruitment', 'Organisational Skills']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Management Consultant,Administrative,£29000,Birmingham,"['Payroll Management', 'Organisational Skills', 'Communication']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
UI Designer,Technology and Data,£27000,Cambridge,"['Problem Solving', 'Version Control', 'Data Visualisation']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Risk Analyst,Finance and Business,£34000,London,"['Financial Analysis', 'Risk Assessment', 'Budgeting']",You must be able to identify and assess potential risks to the organisation.
Engineering Graduate,Engineering and Science,£31000,Sheffield,"['Problem Solving', 'CAD Software', 'Statistical Analysis']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Data Analyst,Technology and Data,£23000,Manchester,"['Django', 'JavaScript', 'Data Warehousing']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Human Resources Assistant,Administrative,£31000,Manchester,"['HR Information Systems', 'Training and Development', 'Onboarding']","Support HR functions including recruitment, employee relations, and record-keeping."
Data Analyst,Technology and Data,£27000,Liverpool,"['Docker', 'Python Programming', 'Version Control']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Product Designer,Marketing and Creative,£30000,Sheffield,"['Email Marketing', 'Social Media Marketing', 'Brand Strategy']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Investment Banking Analyst,Finance and Business,£28000,Sheffield,"['Regulatory Compliance', 'Reporting', 'Risk Assessment']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Insurance Underwriter,Administrative,£35000,Cambridge,"['Communication', 'Payroll Management', 'Recruitment']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Public Relations Officer,Marketing and Creative,£22000,Liverpool,"['Market Research', 'Content Creation', 'Graphic Design']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Web Developer,Technology and Data,£25000,Birmingham,"['Data Visualisation', 'SQL', 'Python Programming']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Biomedical Scientist,Engineering and Science,£33000,Leeds,"['Regulatory Compliance', 'Product Development', 'Simulation Software']",Conduct research and analyse biological samples to support medical and clinical studies.
Research Scientist,Engineering and Science,£23000,Sheffield,"['Simulation Software', 'CAD Software', 'Product Development']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Corporate Finance Analyst,Finance and Business,£28000,London,"['Financial Modeling', 'Project Management', 'Budgeting']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Systems Analyst,Technology and Data,£34000,London,"['ETL', 'Data Analysis', 'Cloud Computing']",Evaluate and improve computer systems to enhance efficiency.
Sales Executive,Marketing and Creative,£28000,Newcastle,"['Google Analytics', 'User Research', 'Content Management Systems']",Must be able to develop and execute sales strategies to meet business objectives.
Biomedical Scientist,Engineering and Science,£23000,Nottingham,"['Statistical Analysis', 'Simulation Software', 'Project Management Software']",Conduct research and analyse biological samples to support medical and clinical studies.
Risk Analyst,Finance and Business,£28000,Leeds,"['Project Management', 'Bookkeeping', 'Excel']",You must be able to identify and assess potential risks to the organisation.
Engineering Graduate,Engineering and Science,£22000,Nottingham,"['Prototyping', 'Engineering Design', 'Simulation Software']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Customer Service Manager,Administrative,£30000,Newcastle,"['Performance Appraisal Systems', 'Conflict Resolution', 'Employee Relations']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Health and Safety Advisor,Engineering and Science,£34000,Nottingham,"['Project Management Software', 'Data Analysis', 'Technical Writing']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Engineering Graduate,Engineering and Science,£28000,Nottingham,"['Technical Writing', 'Data Analysis', 'Lab Techniques']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Data Scientist,Technology and Data,£33000,Bristol,"['Data Analysis', 'JavaScript', 'Machine Learning']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Business Analyst,Finance and Business,£33000,Birmingham,"['Financial Forecasting', 'Business Strategy', 'Quantitative Analysis']",Identify business needs and develop solutions to enhance processes and operations.
Sales Executive,Marketing and Creative,£29000,Liverpool,"['Google Analytics', 'Email Marketing', 'Analytics']",Must be able to develop and execute sales strategies to meet business objectives.
Business Analyst,Finance and Business,£21000,Sheffield,"['Project Management', 'Financial Modeling', 'Quantitative Analysis']",Identify business needs and develop solutions to enhance processes and operations.
Operations Manager,Finance and Business,£33000,Nottingham,"['Financial Modeling', 'Quantitative Analysis', 'Reporting']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Mechanical Engineer,Engineering and Science,£28000,Birmingham,"['Product Development', 'Regulatory Compliance', 'Statistical Analysis']","Design machinery and equipment, and troubleshoot engineering issues."
Research Scientist,Engineering and Science,£23000,Birmingham,"['Problem Solving', 'Simulation Software', 'Finite Element Analysis']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Content Writer,Marketing and Creative,£20000,Liverpool,"['SEO Optimisation', 'Content Management Systems', 'Email Marketing']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Mechanical Engineer,Engineering and Science,£31000,Sheffield,"['Project Management Software', 'Statistical Analysis', 'Data Analysis']","Design machinery and equipment, and troubleshoot engineering issues."
Research Scientist,Engineering and Science,£35000,Nottingham,"['Prototyping', 'Lab Techniques', 'Research Methodology']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Civil Engineer,Engineering and Science,£33000,Bristol,"['Simulation Software', 'Lab Techniques', 'Problem Solving']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Legal Assistant,Administrative,£20000,Newcastle,"['Recruitment', 'Payroll Management', 'Employee Relations']",Provide administrative support to legal teams and assist with legal research and document preparation
Pharmaceutical Sales Representative,Engineering and Science,£35000,Leeds,"['Engineering Design', 'Project Management Software', 'Mechanical Design']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Event Coordinator,Marketing and Creative,£32000,Birmingham,"['SEO Optimisation', 'Email Marketing', 'PPC Advertising']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Financial Analyst,Finance and Business,£20000,Cambridge,"['Financial Modeling', 'Financial Forecasting', 'Financial Analysis']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Graphic Designer,Marketing and Creative,£24000,Nottingham,"['PPC Advertising', 'Brand Strategy', 'Social Media Marketing']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Content Writer,Marketing and Creative,£26000,Liverpool,"['Graphic Design', 'Digital Marketing', 'Social Media Marketing']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Digital Marketing Specialist,Marketing and Creative,£23000,Birmingham,"['SEO Optimisation', 'Content Management Systems', 'Market Research']","Implement digital marketing strategies, including SEO, PPC, and social media."
Customer Service Manager,Administrative,£31000,Manchester,"['Communication', 'HR Information Systems', 'Employee Relations']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Mechanical Engineer,Engineering and Science,£28000,Liverpool,"['Data Analysis', 'Regulatory Compliance', 'Research Methodology']","Design machinery and equipment, and troubleshoot engineering issues."
Nurse,Administrative,£26000,London,"['Performance Appraisal Systems', 'Office Management', 'Recruitment']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Pharmaceutical Sales Representative,Engineering and Science,£31000,Leeds,"['Mechanical Design', 'Technical Writing', 'Regulatory Compliance']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Product Designer,Marketing and Creative,£23000,Nottingham,"['Content Management Systems', 'User Research', 'Content Creation']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Nurse,Administrative,£20000,Cambridge,"['Training and Development', 'Communication', 'Leadership']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Risk Analyst,Finance and Business,£32000,Cambridge,"['Financial Forecasting', 'Reporting', 'Financial Analysis']",You must be able to identify and assess potential risks to the organisation.
Engineering Graduate,Engineering and Science,£27000,Manchester,"['Finite Element Analysis', 'Prototyping', 'Simulation Software']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Engineering Graduate,Engineering and Science,£29000,Nottingham,"['Data Analysis', 'Statistical Analysis', 'Problem Solving']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Corporate Finance Analyst,Finance and Business,£24000,Bristol,"['Business Strategy', 'Reporting', 'Project Management']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Teacher,Administrative,£32000,Liverpool,"['Recruitment', 'Employee Relations', 'Talent Acquisition']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Biomedical Scientist,Engineering and Science,£24000,Sheffield,"['Mechanical Design', 'Statistical Analysis', 'Data Analysis']",Conduct research and analyse biological samples to support medical and clinical studies.
UI Designer,Technology and Data,£21000,Sheffield,"['ETL', 'Data Visualisation', 'Problem Solving']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Sales Executive,Marketing and Creative,£21000,Liverpool,"['Social Media Marketing', 'Google Analytics', 'PPC Advertising']",Must be able to develop and execute sales strategies to meet business objectives.
Social Media Manager,Marketing and Creative,£25000,London,"['Google Analytics', 'Analytics', 'Content Creation']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Business Development Executive,Finance and Business,£22000,Manchester,"['Financial Analysis', 'Risk Assessment', 'Reporting']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Mechanical Engineer,Engineering and Science,£23000,Cambridge,"['Project Management Software', 'Engineering Design', 'Research Methodology']","Design machinery and equipment, and troubleshoot engineering issues."
Management Consultant,Administrative,£29000,Cambridge,"['Organisational Skills', 'Client Management', 'Onboarding']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Biomedical Scientist,Engineering and Science,£26000,Bristol,"['Finite Element Analysis', 'Product Development', 'Engineering Design']",Conduct research and analyse biological samples to support medical and clinical studies.
Investment Banking Analyst,Finance and Business,£33000,Birmingham,"['Business Strategy', 'Quantitative Analysis', 'Analytical Skills']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Public Relations Officer,Marketing and Creative,£23000,Cambridge,"['Email Marketing', 'Social Media Marketing', 'Google Analytics']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Marketing Executive,Marketing and Creative,£21000,Nottingham,"['Campaign Management', 'Adobe Creative Suite', 'Google Analytics']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Graphic Designer,Marketing and Creative,£31000,Newcastle,"['Google Analytics', 'Content Creation', 'Market Research']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
UI Designer,Technology and Data,£34000,Cambridge,"['Big Data Technologies', 'Python Programming', 'APIs']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Financial Analyst,Finance and Business,£28000,London,"['Bookkeeping', 'Business Strategy', 'Budgeting']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Electrical Engineer,Engineering and Science,£28000,Liverpool,"['Finite Element Analysis', 'CAD Software', 'Prototyping']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Systems Analyst,Technology and Data,£26000,Nottingham,"['Django', 'Data Warehousing', 'Data Analysis']",Evaluate and improve computer systems to enhance efficiency.
Marketing Executive,Marketing and Creative,£30000,London,"['User Research', 'Analytics', 'Adobe Creative Suite']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
IT Support Specialist,Technology and Data,£22000,Bristol,"['APIs', 'Data Visualisation', 'Django']",You will have to provide technical support and troubleshooting for hardware and software issues.
Management Consultant,Administrative,£35000,Manchester,"['HR Information Systems', 'Payroll Management', 'Communication']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Risk Analyst,Finance and Business,£26000,Bristol,"['Budgeting', 'Business Strategy', 'Quantitative Analysis']",You must be able to identify and assess potential risks to the organisation.
Logistics Coordinator,Administrative,£25000,Sheffield,"['Training and Development', 'Conflict Resolution', 'Recruitment']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
